Geneid	wt-phage-35_R1	wt-phage-35_R3	wt-phage-35_R4	wt-phage-35_R5	wt-phage-60_R1	wt-phage-60_R2	wt-phage-60_R3	wt-phage-60_R4	wt-phage-120_R1	wt-phage-120_R2	wt-phage-120_R3	wt-phage-120_R4	Entity	Symbol	is_outlier	outlier_info
gene-R0792_RS06220	57	85	86	70	39	123	107	67	120	70	101	88	host	gene-R0792_RS06220	False	
gene-R0792_RS23875	73	60	62	66	13	54	48	40	95	49	73	46	host	cysQ	False	
gene-R0792_RS06645	4	6	9	8	4	6	8	4	14	6	9	4	host	ligD	False	
gene-R0792_RS20625	2	5	4	5	2	9	7	1	10	3	6	1	host	gene-R0792_RS20625	False	
gene-R0792_RS19245	11	20	23	17	8	30	20	14	22	18	14	9	host	gene-R0792_RS19245	False	
gene-R0792_RS24525	48	66	75	55	35	71	74	48	72	35	70	58	host	gene-R0792_RS24525	False	
gene-R0792_RS25565	377	361	341	390	257	382	320	314	363	254	384	315	host	gene-R0792_RS25565_gene_aroQ	False	
gene-R0792_RS08665	4	6	8	7	4	9	2	3	8	2	5	2	host	gene-R0792_RS08665	False	
gene-R0792_RS12080	137	150	171	169	62	141	151	103	175	92	146	99	host	gene-R0792_RS12080	False	
gene-R0792_RS20015	85	92	97	76	32	133	82	69	120	59	113	58	host	gene-R0792_RS20015	False	
gene-R0792_RS05180	320	404	389	307	190	427	412	288	455	279	392	319	host	gene-R0792_RS05180	False	
gene-R0792_RS24070	116	135	153	148	48	196	167	135	288	115	186	160	host	hisF	False	
gene-R0792_RS15310	24	24	29	20	13	34	30	23	42	14	39	19	host	gene-R0792_RS15310	False	
gene-R0792_RS16215	16	20	15	12	5	21	10	11	16	5	12	19	host	dauB	False	
gene-R0792_RS11135	10	6	11	13	7	14	8	6	12	3	6	12	host	gene-R0792_RS11135	False	
gene-R0792_RS27000	51	56	55	48	37	92	83	57	83	49	73	67	host	gene-R0792_RS27000	False	
gene-R0792_RS08775	64	86	96	86	36	83	74	49	113	53	82	88	host	gene-R0792_RS08775	False	
gene-R0792_RS14820	61	68	80	64	38	67	60	56	54	30	61	27	host	fghA	False	
gene-R0792_RS09705	6	10	4	9	3	10	8	3	8	4	12	4	host	gene-R0792_RS09705	False	
gene-R0792_RS09930	7	4	8	4	2	5	4	3	3	3	4	4	host	fdxA	False	
gene-R0792_RS09635	54	60	79	52	24	73	62	48	38	19	52	44	host	gene-R0792_RS09635	False	
gene-R0792_RS06970	1	0	1	4	0	2	2	1	7	0	1	1	host	gene-R0792_RS06970	False	
gene-R0792_RS10895	26	32	31	32	15	36	35	17	35	25	37	26	host	gene-R0792_RS10895	False	
gene-R0792_RS14255	16	18	14	6	14	29	16	22	44	18	42	29	host	gene-R0792_RS14255	False	
gene-R0792_RS28855	18	27	29	32	5	27	18	10	30	19	36	21	host	gene-R0792_RS28855	False	
gene-R0792_RS27305	136	150	119	125	82	177	142	118	139	79	138	91	host	gene-R0792_RS27305	False	
gene-R0792_RS20365	53	58	45	39	31	58	60	51	46	20	50	41	host	gene-R0792_RS20365	False	
gene-R0792_RS00095	7	3	4	3	2	6	7	2	4	1	1	1	host	gene-R0792_RS00095	False	
gene-R0792_RS16625	10	8	14	10	5	16	13	13	25	15	23	10	host	gene-R0792_RS16625	False	
gene-R0792_RS14695	43	34	40	26	17	51	48	35	53	30	58	49	host	gene-R0792_RS14695	False	
gene-R0792_RS12350	291	304	303	269	131	346	256	225	285	139	224	200	host	gene-R0792_RS12350_gene_hisC	False	
gene-R0792_RS27740	81	62	61	61	53	106	59	67	79	37	69	65	host	yejK	False	
gene-R0792_RS20525	30	37	25	25	23	36	29	21	33	17	32	26	host	gene-R0792_RS20525	False	
gene-R0792_RS12680	43	47	47	42	26	27	24	20	23	23	26	30	host	azoR3	False	
gene-R0792_RS05910	9	12	5	8	4	7	4	7	14	7	11	7	host	pqqD	False	
gene-R0792_RS19035	45	67	49	46	31	72	53	55	69	30	52	49	host	gene-R0792_RS19035	False	
gene-R0792_RS28110	27	23	26	26	7	32	22	24	20	14	26	21	host	gene-R0792_RS28110	False	
gene-R0792_RS11435	151	184	168	148	82	218	166	144	161	121	175	131	host	gene-R0792_RS11435	False	
gene-R0792_RS22615	14	22	33	14	9	25	31	18	25	11	30	11	host	gene-R0792_RS22615	False	
gene-R0792_RS28740	29	27	48	40	14	51	29	28	40	29	38	31	host	gene-R0792_RS28740	False	
gene-R0792_RS07740	2	4	5	2	2	1	4	0	6	3	4	1	host	gene-R0792_RS07740	False	
gene-R0792_RS05870	0	2	3	2	1	2	2	3	0	0	2	0	host	gene-R0792_RS05870	False	
gene-R0792_RS30135	62	69	57	42	36	80	60	54	34	21	38	29	host	gene-R0792_RS30135	False	
gene-R0792_RS16750	20	29	31	10	13	27	24	18	30	13	29	26	host	gene-R0792_RS16750	False	
gene-R0792_RS24260	22	24	33	18	15	30	21	29	30	13	23	13	host	gene-R0792_RS24260	False	
gene-R0792_RS09035	4	2	4	3	4	6	2	0	5	1	2	1	host	parA	False	
gene-R0792_RS13145	44	47	45	56	16	61	35	40	64	21	52	44	host	gene-R0792_RS13145	False	
gene-R0792_RS25400	85	102	81	94	42	116	94	79	133	72	120	100	host	brlR	False	
gene-R0792_RS07405	2	7	10	5	2	1	10	3	6	2	7	5	host	gene-R0792_RS07405	False	
gene-R0792_RS27785	50	59	50	59	19	65	66	40	77	27	53	52	host	gene-R0792_RS27785	False	
gene-R0792_RS04195	169	188	148	154	101	216	151	156	174	126	205	147	host	gene-R0792_RS04195_gene_tssC	False	
gene-R0792_RS14810	108	135	156	120	70	131	123	100	153	71	122	87	host	truD	False	
gene-R0792_RS06915	14	30	23	27	6	26	20	11	18	9	18	11	host	gene-R0792_RS06915	False	
gene-R0792_RS24290	34	47	40	44	16	49	39	35	42	34	49	35	host	gene-R0792_RS24290	False	
gene-R0792_RS05965	316	393	315	345	172	436	331	299	517	296	490	346	host	gene-R0792_RS05965	False	
gene-R0792_RS02225	24	34	43	41	10	48	35	26	64	31	56	47	host	cobO	False	
gene-R0792_RS16560	84	72	79	72	60	104	89	86	137	82	112	131	host	gene-R0792_RS16560	False	
gene-R0792_RS26550	391	396	390	333	190	419	386	266	423	240	351	316	host	lbcA	False	
gene-R0792_RS06240	3	4	2	0	1	3	4	3	2	1	3	0	host	cynT	False	
gene-R0792_RS07560	2	0	3	3	3	0	0	2	4	0	4	4	host	gene-R0792_RS07560	False	
gene-R0792_RS16370	24	17	34	30	11	24	31	23	33	24	31	18	host	gene-R0792_RS16370	False	
gene-R0792_RS07670	7	11	20	13	2	11	17	3	17	4	7	3	host	gene-R0792_RS07670	False	
gene-R0792_RS03090	116	119	123	99	54	139	123	89	98	40	106	73	host	fliR	False	
gene-R0792_RS28830	8	15	14	13	2	11	14	12	19	8	13	5	host	gene-R0792_RS28830	False	
gene-R0792_RS16705	1	3	4	5	1	3	5	5	1	2	4	5	host	gene-R0792_RS16705	False	
gene-R0792_RS14610	19	17	23	19	12	20	14	19	26	11	15	14	host	gene-R0792_RS14610	False	
gene-R0792_RS11620	384	371	390	331	195	424	337	317	459	298	369	384	host	gene-R0792_RS11620	False	
gene-R0792_RS05150	255	265	214	193	152	315	208	208	232	183	239	204	host	gene-R0792_RS05150	False	
gene-R0792_RS10890	57	47	59	60	40	47	57	52	68	37	54	51	host	pyrF	False	
gene-R0792_RS30015	52	51	58	45	24	53	51	34	51	17	45	34	host	gene-R0792_RS30015	False	
gene-R0792_RS27050	143	173	150	162	80	217	154	142	172	75	127	116	host	gene-R0792_RS27050	False	
gene-R0792_RS20645	7	28	18	20	12	26	23	21	20	8	13	14	host	gene-R0792_RS20645	False	
gene-R0792_RS00440	154	162	162	139	90	152	132	137	189	102	149	136	host	purN	False	
gene-R0792_RS23205	193	232	236	188	108	190	184	144	198	118	201	149	host	gene-R0792_RS23205_gene_alr	False	
gene-R0792_RS10305	11	11	16	10	2	12	9	11	13	11	12	12	host	gene-R0792_RS10305	False	
gene-R0792_RS03300	4	2	8	3	5	4	5	8	5	3	5	2	host	gene-R0792_RS03300	False	
gene-R0792_RS03690	172	135	164	161	131	247	211	184	232	124	208	175	host	gene-R0792_RS03690	False	
gene-R0792_RS21125	21	30	23	27	12	37	28	31	33	18	24	20	host	gene-R0792_RS21125	False	
gene-R0792_RS05285	30	39	36	42	12	52	31	28	53	21	35	34	host	gene-R0792_RS05285	False	
gene-R0792_RS02935	7	12	6	13	8	10	12	9	20	10	6	9	host	gene-R0792_RS02935	False	
gene-R0792_RS09350	87	71	65	49	56	85	66	64	63	37	76	64	host	gene-R0792_RS09350	False	
gene-R0792_RS24730	379	505	473	464	196	556	469	390	501	264	415	379	host	rfaP	False	
gene-R0792_RS06125	21	27	26	25	14	30	20	22	30	12	33	18	host	gene-R0792_RS06125	False	
gene-R0792_RS21420	13	25	13	14	6	24	19	16	14	14	17	23	host	gene-R0792_RS21420_gene_tssJ	False	
gene-R0792_RS01245	256	320	316	256	112	265	214	170	197	97	139	120	host	fleR	False	
gene-R0792_RS29310	15	20	12	8	3	23	15	17	15	6	13	10	host	gene-R0792_RS29310	False	
gene-R0792_RS17715	20	25	30	39	2	29	27	15	40	19	28	21	host	gene-R0792_RS17715	False	
gene-R0792_RS12505	108	156	160	136	95	195	149	111	180	121	176	126	host	gap	False	
gene-R0792_RS01640	62	81	78	62	27	85	73	40	51	37	48	36	host	gene-R0792_RS01640	False	
gene-R0792_RS02775	33	24	26	21	13	17	31	23	23	11	27	17	host	fabF	False	
gene-R0792_RS10500	13	24	22	19	7	26	28	14	27	11	24	15	host	gene-R0792_RS10500	False	
gene-R0792_RS29280	146	180	182	197	69	230	202	150	218	93	174	107	host	gene-R0792_RS29280	False	
gene-R0792_RS12990	372	379	292	295	286	386	357	326	301	193	328	310	host	gene-R0792_RS12990	False	
gene-R0792_RS21725	57	75	83	66	24	68	81	41	127	56	112	68	host	gene-R0792_RS21725	False	
gene-R0792_RS12795	31	33	20	19	29	32	26	28	19	21	29	31	host	gene-R0792_RS12795	False	
gene-R0792_RS14490	32	45	55	30	12	52	41	28	57	16	44	38	host	cra	False	
gene-R0792_RS27130	271	293	278	234	173	394	306	289	310	184	275	225	host	ispH	False	
gene-R0792_RS06315	12	22	27	16	8	20	18	18	18	11	18	13	host	gene-R0792_RS06315	False	
gene-R0792_RS26685	213	221	249	204	96	242	248	186	267	195	272	208	host	mqo	False	
gene-R0792_RS29665	19	22	15	17	5	21	12	15	22	14	23	21	host	gene-R0792_RS29665	False	
gene-R0792_RS02205	2	3	3	1	0	2	4	3	5	3	3	2	host	gene-R0792_RS02205	False	
gene-R0792_RS08590	64	88	90	74	32	96	77	73	103	44	70	58	host	gene-R0792_RS08590	False	
gene-R0792_RS22545	75	96	71	74	53	85	61	62	77	48	78	69	host	gene-R0792_RS22545	False	
gene-R0792_RS22540	2	0	5	4	0	2	1	2	4	3	2	3	host	gene-R0792_RS22540	False	
gene-R0792_RS17905	13	18	23	14	7	20	21	14	20	8	15	13	host	gene-R0792_RS17905	False	
gene-R0792_RS25505	72	79	60	58	41	63	66	58	60	36	45	42	host	urtA	False	
gene-R0792_RS11000	2	4	5	2	2	7	3	6	6	4	2	1	host	gene-R0792_RS11000	False	
gene-R0792_RS04990	164	168	152	139	97	187	156	139	162	105	151	147	host	gene-R0792_RS04990	False	
gene-R0792_RS13335	5	12	16	6	3	19	18	10	15	7	19	11	host	gene-R0792_RS13335	False	
gene-R0792_RS19720	69	84	76	69	32	75	78	70	73	39	64	48	host	gene-R0792_RS19720	False	
gene-R0792_RS06110	5	6	11	8	5	13	12	7	14	4	11	7	host	gene-R0792_RS06110	False	
gene-R0792_RS06250	4	6	7	3	2	8	10	5	14	8	13	11	host	gene-R0792_RS06250	False	
gene-R0792_RS15010	107	137	162	147	52	138	143	106	204	95	120	100	host	dapD	False	
gene-R0792_RS14475	26	31	37	35	3	24	25	25	31	5	21	18	host	gene-R0792_RS14475	False	
gene-R0792_RS14245	14	15	14	12	11	27	23	17	24	14	24	17	host	gene-R0792_RS14245	False	
gene-R0792_RS22015	9	9	7	8	5	13	11	16	8	11	13	12	host	gene-R0792_RS22015	False	
gene-R0792_RS17430	2	0	2	1	0	0	6	1	2	1	3	1	host	gene-R0792_RS17430	False	
gene-R0792_RS04755	232	256	281	203	254	273	230	223	226	219	278	227	host	gene-R0792_RS04755	False	
gene-R0792_RS13660	22	19	17	21	19	30	21	17	20	9	19	19	host	phnC	False	
gene-R0792_RS02655	34	41	42	33	27	60	19	31	57	26	38	33	host	gene-R0792_RS02655	False	
gene-R0792_RS09280	14	10	16	17	4	13	14	15	11	5	17	13	host	gene-R0792_RS09280	False	
gene-R0792_RS28360	277	284	259	246	155	311	221	239	242	199	260	202	host	gene-R0792_RS28360	False	
gene-R0792_RS15130	136	216	189	185	75	138	222	120	314	74	236	170	host	gene-R0792_RS15130	False	
gene-R0792_RS02865	6	9	5	7	6	12	11	7	10	5	5	7	host	gene-R0792_RS02865	False	
gene-R0792_RS08685	46	39	34	40	38	45	42	40	65	43	61	58	host	gene-R0792_RS08685	False	
gene-R0792_RS29090	111	103	109	244	72	173	119	96	122	72	101	95	host	pprA	False	
gene-R0792_RS08840	115	171	166	150	61	126	113	77	71	36	79	40	host	gene-R0792_RS08840	False	
gene-R0792_RS24165	48	72	66	69	40	70	79	60	87	34	78	57	host	gene-R0792_RS24165	False	
gene-R0792_RS03325	2	5	7	5	1	3	3	1	10	3	7	3	host	gene-R0792_RS03325	False	
gene-R0792_RS11765	249	317	304	280	204	421	348	285	395	281	383	334	host	dacB	False	
gene-R0792_RS19850	192	268	273	242	100	299	247	215	369	171	284	178	host	ftsE	False	
gene-R0792_RS10745	3	2	9	5	2	7	4	3	4	1	5	3	host	gene-R0792_RS10745	False	
gene-R0792_RS12955	138	160	145	170	76	194	155	126	233	118	173	129	host	gene-R0792_RS12955	False	
gene-R0792_RS13760	26	31	37	22	19	28	32	11	46	18	40	26	host	gene-R0792_RS13760	False	
gene-R0792_RS08755	45	40	50	38	25	59	60	43	51	33	49	37	host	gene-R0792_RS08755	False	
gene-R0792_RS26980	2	1	0	2	1	0	3	0	2	0	3	0	host	gene-R0792_RS26980	False	
gene-R0792_RS04620	55	54	51	57	33	84	70	72	84	44	84	49	host	gene-R0792_RS04620	False	
gene-R0792_RS26340	177	194	175	186	72	173	169	143	213	99	151	114	host	gene-R0792_RS26340	False	
gene-R0792_RS04770	52	59	51	57	23	51	54	34	58	41	46	36	host	gene-R0792_RS04770	False	
gene-R0792_RS19980	12	19	26	20	8	21	35	20	50	20	25	23	host	gene-R0792_RS19980	False	
gene-R0792_RS16115	61	52	36	38	23	81	52	45	74	52	81	47	host	gene-R0792_RS16115	False	
gene-R0792_RS11710	5	7	11	6	2	7	3	6	5	2	5	3	host	gene-R0792_RS11710	False	
gene-R0792_RS03495	338	406	358	400	190	424	376	314	466	241	322	269	host	ligA	False	
gene-R0792_RS23305	69	91	110	86	43	112	82	92	120	70	99	74	host	gene-R0792_RS23305	False	
gene-R0792_RS16155	42	62	51	37	35	57	51	44	50	31	55	37	host	gene-R0792_RS16155	False	
gene-R0792_RS14380	27	45	47	31	18	66	36	44	55	28	35	43	host	alg8	False	
gene-R0792_RS30200	108	153	168	141	61	123	112	88	121	70	123	73	host	cbpD	False	
gene-R0792_RS22845	115	112	110	100	87	166	108	127	142	102	154	117	host	gene-R0792_RS22845	False	
gene-R0792_RS27525	66	72	51	57	42	53	42	52	31	28	59	36	host	tnpA	False	
gene-R0792_RS22720	1	7	3	4	4	10	2	3	4	3	3	8	host	gene-R0792_RS22720	False	
gene-R0792_RS12880	87	95	91	84	51	75	71	52	90	49	76	51	host	gene-R0792_RS12880	False	
gene-R0792_RS28000	20	19	48	24	7	28	31	24	48	17	97	15	host	gene-R0792_RS28000	False	
gene-R0792_RS24375	65	85	84	89	32	80	64	59	104	55	74	56	host	pip	False	
gene-R0792_RS05025	266	301	292	282	194	347	309	243	359	213	322	279	host	dnaQ	False	
gene-R0792_RS28580	31	39	35	35	15	34	47	24	32	23	30	34	host	gene-R0792_RS28580	False	
gene-R0792_RS07280	426	618	635	537	98	459	420	251	279	106	211	149	host	lpdA	False	
gene-R0792_RS06275	2	3	2	0	1	2	2	1	8	2	1	2	host	gene-R0792_RS06275	False	
gene-R0792_RS09855	0	3	2	1	0	3	7	1	3	1	1	2	host	gene-R0792_RS09855	False	
gene-R0792_RS28770	45	34	44	44	12	35	31	26	36	14	24	21	host	gene-R0792_RS28770	False	
gene-R0792_RS29750	49	60	71	39	28	59	52	47	77	29	48	36	host	recO	False	
gene-R0792_RS15745	1	4	3	3	1	5	5	2	2	2	3	6	host	gene-R0792_RS15745	False	
gene-R0792_RS24765	407	389	398	379	201	501	397	331	385	215	336	252	host	gene-R0792_RS24765	False	
gene-R0792_RS08405	1	2	1	1	0	2	2	1	2	7	0	4	host	foxR	False	
gene-R0792_RS10220	313	256	344	203	79	213	194	139	188	76	159	127	host	gene-R0792_RS10220	False	
gene-R0792_RS25405	38	62	60	50	26	68	55	48	67	49	60	55	host	gene-R0792_RS25405	False	
gene-R0792_RS14190	207	255	196	185	210	275	213	226	216	173	247	239	host	pldA	False	
gene-R0792_RS14615	69	83	117	85	46	127	103	94	124	56	139	76	host	metR	False	
gene-R0792_RS28700	124	185	159	123	109	241	162	142	181	91	149	110	host	gene-R0792_RS28700	False	
gene-R0792_RS20340	69	124	118	103	47	87	89	85	147	97	135	150	host	gene-R0792_RS20340	False	
gene-R0792_RS08315	284	316	277	219	238	284	241	245	210	165	256	231	host	gene-R0792_RS08315	False	
gene-R0792_RS24335	195	186	149	137	158	189	167	164	127	115	143	144	host	gene-R0792_RS24335	False	
gene-DMS3-8	5	16	21	9	19	57	59	34	89	52	64	58	phage	gene-DMS3-8	False	
gene-R0792_RS16720	51	68	75	47	32	64	52	46	57	42	49	53	host	gene-R0792_RS16720	False	
gene-R0792_RS20520	326	259	286	231	241	301	262	260	264	177	276	294	host	gene-R0792_RS20520	False	
gene-R0792_RS06950	49	60	46	50	22	59	38	34	82	51	89	64	host	gene-R0792_RS06950	False	
gene-R0792_RS15700	169	186	144	133	141	166	150	146	130	93	161	141	host	gene-R0792_RS15700	False	
gene-R0792_RS16105	24	27	24	20	14	35	16	22	20	20	18	15	host	gene-R0792_RS16105	False	
gene-R0792_RS02855	6	7	8	8	1	19	13	11	20	6	10	4	host	gene-R0792_RS02855	False	
gene-R0792_RS18950	230	256	311	277	168	397	340	294	436	284	371	319	host	fba	False	
gene-R0792_RS03050	393	409	449	354	185	471	368	308	393	188	337	350	host	gene-R0792_RS03050	False	
gene-R0792_RS21455	0	2	0	1	0	1	0	0	1	0	0	2	host	tagT	False	
gene-R0792_RS23375	472	620	536	448	359	592	494	420	446	347	508	464	host	gene-R0792_RS23375	False	
gene-R0792_RS19100	34	37	21	35	18	43	34	24	46	9	31	17	host	gene-R0792_RS19100	False	
gene-R0792_RS01735	33	23	32	24	22	38	15	31	33	16	27	28	host	gene-R0792_RS01735	False	
gene-R0792_RS20275	23	24	12	23	4	12	7	15	23	12	18	17	host	gene-R0792_RS20275_gene_aguB	False	
gene-R0792_RS19185	183	246	215	201	108	181	177	106	69	43	79	66	host	nirN	False	
gene-R0792_RS00390	213	230	217	172	158	258	213	184	221	132	210	193	host	mazG	False	
gene-R0792_RS29020	144	161	181	151	82	151	164	94	174	73	152	93	host	pctC	False	
gene-R0792_RS11830	3	6	9	4	2	7	6	3	7	3	3	5	host	gene-R0792_RS11830	False	
gene-R0792_RS21555	9	7	9	11	2	14	12	6	9	3	13	6	host	gene-R0792_RS21555	False	
gene-R0792_RS02910	4	5	3	7	1	11	6	4	2	4	3	1	host	gene-R0792_RS02910	False	
gene-R0792_RS09720	22	6	15	17	5	12	17	11	12	5	12	9	host	gspG	False	
gene-R0792_RS20835	131	146	171	126	68	140	96	75	100	66	77	77	host	gene-R0792_RS20835	False	
gene-R0792_RS25615	10	13	15	10	4	20	13	5	14	12	21	13	host	cntL	False	
gene-R0792_RS02940	25	23	27	25	16	29	29	16	24	21	32	24	host	gene-R0792_RS02940	False	
gene-R0792_RS09375	54	60	69	61	20	78	57	47	69	40	60	36	host	tusB	False	
gene-R0792_RS09405	426	451	447	390	186	480	369	317	388	193	336	285	host	gene-R0792_RS09405	False	
gene-R0792_RS15655	9	19	12	9	0	15	16	10	7	9	9	12	host	merE	False	
gene-R0792_RS21655	16	22	19	11	7	26	29	16	30	14	24	15	host	trpA	False	
gene-R0792_RS06425	4	4	9	2	2	5	5	6	3	0	0	1	host	gene-R0792_RS06425	False	
gene-R0792_RS09990	103	115	104	76	68	114	95	83	59	35	95	82	host	gene-R0792_RS09990	False	
gene-R0792_RS19500	62	64	66	50	33	74	81	49	61	30	73	40	host	gene-R0792_RS19500	False	
gene-R0792_RS29460	35	25	37	27	29	31	34	31	33	23	33	41	host	gene-R0792_RS29460	False	
gene-R0792_RS05890	47	73	66	44	31	61	71	55	52	48	66	52	host	gene-R0792_RS05890	False	
gene-R0792_RS21960	270	329	269	238	143	320	243	226	235	152	239	197	host	gene-R0792_RS21960	False	
gene-R0792_RS00530	121	89	83	71	75	105	74	90	63	54	77	76	host	gene-R0792_RS00530	False	
gene-R0792_RS05135	208	225	222	189	144	261	232	176	340	200	352	344	host	gene-R0792_RS05135	False	
gene-R0792_RS11265	23	19	27	26	11	37	29	29	31	18	27	22	host	gene-R0792_RS11265	False	
gene-R0792_RS27730	213	272	211	188	207	276	234	214	198	138	216	233	host	gene-R0792_RS27730	False	
gene-R0792_RS26490	151	152	126	159	92	220	202	151	283	204	276	227	host	gene-R0792_RS26490	False	
gene-R0792_RS28845	43	53	69	49	17	73	74	43	90	40	71	29	host	gene-R0792_RS28845	False	
gene-R0792_RS05320	54	58	69	53	31	80	66	52	90	36	61	69	host	gene-R0792_RS05320	False	
gene-R0792_RS00995	101	101	82	91	38	123	94	62	110	46	81	69	host	gene-R0792_RS00995	False	
gene-R0792_RS13320	3	2	3	1	2	3	4	3	2	3	4	4	host	gene-R0792_RS13320	False	
gene-R0792_RS13820	0	3	5	2	3	4	6	1	11	4	5	2	host	gene-R0792_RS13820	False	
gene-R0792_RS18660	375	348	336	340	182	464	357	289	431	261	402	310	host	trpE	False	
gene-R0792_RS18740	74	126	138	113	35	121	123	82	159	80	130	104	host	pdxA	False	
gene-R0792_RS20420	186	218	166	178	191	225	147	186	166	140	204	178	host	gene-R0792_RS20420	False	
gene-R0792_RS05895	320	376	256	220	218	272	253	224	101	87	169	141	host	pqqA	False	
gene-R0792_RS10035	441	402	401	358	309	486	338	367	323	269	409	390	host	gene-R0792_RS10035	False	
gene-R0792_RS21505	46	37	46	35	25	48	36	32	55	26	47	35	host	gene-R0792_RS21505	False	
gene-R0792_RS08305	239	229	174	139	153	183	114	152	106	61	105	118	host	gene-R0792_RS08305	False	
gene-R0792_RS23250	7	8	7	3	4	19	6	13	41	13	27	21	host	gene-R0792_RS23250	False	
gene-R0792_RS15685	49	62	55	55	43	87	77	52	77	55	72	64	host	gene-R0792_RS15685	False	
gene-R0792_RS28545	49	172	70	69	25	77	81	40	87	45	73	43	host	gene-R0792_RS28545	False	
gene-R0792_RS10750	19	27	23	13	14	32	21	13	18	14	23	17	host	gene-R0792_RS10750_gene_ohrR	False	
gene-R0792_RS02960	27	35	35	37	12	30	29	23	37	22	33	25	host	gene-R0792_RS02960	False	
gene-R0792_RS04305	114	146	159	139	60	199	176	120	199	87	166	120	host	gene-R0792_RS04305	False	
gene-R0792_RS17480	15	23	7	14	6	12	14	7	15	9	13	13	host	gene-R0792_RS17480	False	
gene-R0792_RS05680	56	84	71	58	34	83	74	41	77	42	81	51	host	gene-R0792_RS05680	False	
gene-R0792_RS08220	5	6	5	0	1	1	2	0	2	2	2	4	host	gene-R0792_RS08220_gene_hflK	False	
gene-R0792_RS19380	20	22	31	37	8	23	25	17	53	12	25	23	host	gene-R0792_RS19380	False	
gene-R0792_RS06835	167	251	187	141	144	238	171	165	120	91	157	122	host	gene-R0792_RS06835	False	
gene-R0792_RS28665	206	214	232	211	151	265	236	189	242	146	235	214	host	gene-R0792_RS28665_gene_pncB	False	
gene-R0792_RS08655	2	0	1	0	2	2	0	2	4	0	4	2	host	benB	False	
gene-R0792_RS03015	73	96	90	75	24	81	73	59	54	38	54	37	host	lapD	False	
gene-R0792_RS23015	6	2	3	6	1	4	3	4	6	5	4	5	host	gene-R0792_RS23015	False	
gene-R0792_RS11475	170	191	212	156	66	232	187	170	248	131	210	119	host	gene-R0792_RS11475	False	
gene-R0792_RS17500	220	257	206	227	230	317	207	203	246	220	292	230	host	gene-R0792_RS17500	False	
gene-R0792_RS08710	73	125	122	102	54	139	127	120	195	102	168	177	host	muxB	False	
gene-R0792_RS07445	13	17	7	10	3	15	12	15	19	6	12	7	host	gene-R0792_RS07445	False	
gene-R0792_RS05525	0	0	2	2	1	2	2	1	1	3	5	3	host	gene-R0792_RS05525	False	
gene-R0792_RS18880	3	11	10	6	0	4	12	5	9	7	11	8	host	gene-R0792_RS18880	False	
gene-R0792_RS00820	19	21	16	20	6	11	13	16	14	9	21	19	host	gene-R0792_RS00820	False	
gene-R0792_RS04895	60	71	79	50	47	84	73	60	84	52	70	55	host	folD	False	
gene-R0792_RS19535	571	606	586	449	354	742	580	460	602	410	646	515	host	gene-R0792_RS19535	False	
gene-R0792_RS19625	36	28	22	27	13	29	32	17	32	14	39	39	host	gene-R0792_RS19625	False	
gene-R0792_RS20100	38	63	66	51	22	65	60	53	70	43	58	40	host	gene-R0792_RS20100	False	
gene-R0792_RS22350	35	32	45	23	17	34	33	18	42	21	37	24	host	gene-R0792_RS22350	False	
gene-R0792_RS00245	30	38	35	28	24	40	49	35	44	26	37	29	host	gene-R0792_RS00245	False	
gene-R0792_RS10585	18	14	16	12	11	20	16	7	22	12	13	14	host	gene-R0792_RS10585	False	
gene-R0792_RS18615	220	276	316	230	158	332	208	223	263	211	257	226	host	gene-R0792_RS18615	False	
gene-R0792_RS19030	29	25	26	23	14	27	35	25	32	25	24	23	host	gene-R0792_RS19030	False	
gene-R0792_RS22630	129	146	193	133	55	171	139	113	164	54	120	107	host	gene-R0792_RS22630	False	
gene-R0792_RS03420	39	61	48	34	25	50	44	44	26	27	40	28	host	gene-R0792_RS03420	False	
gene-R0792_RS05085	114	99	136	89	79	214	155	118	108	59	99	82	host	gene-R0792_RS05085	False	
gene-R0792_RS23455	100	111	122	92	50	144	129	74	121	59	116	101	host	gene-R0792_RS23455	False	
gene-R0792_RS07595	5	4	3	1	1	1	3	0	1	1	0	3	host	gene-R0792_RS07595	False	
gene-R0792_RS29855	11	20	21	13	9	13	13	15	20	8	17	11	host	gene-R0792_RS29855	False	
gene-R0792_RS19455	85	94	119	95	50	101	112	75	96	57	74	85	host	yccS	False	
gene-R0792_RS15415	425	486	448	420	205	534	427	389	537	296	464	351	host	ffh	False	
gene-R0792_RS03460	33	30	37	22	10	54	37	19	31	17	24	20	host	xdhC	False	
gene-R0792_RS17255	21	12	14	10	6	21	17	10	20	8	17	7	host	gene-R0792_RS17255	False	
gene-R0792_RS24660	62	66	64	56	41	65	59	39	100	57	91	61	host	selO	False	
gene-R0792_RS28160	98	108	118	80	49	115	129	96	104	58	97	82	host	gene-R0792_RS28160	False	
gene-R0792_RS08050	1	8	3	4	2	16	6	6	18	5	10	6	host	gene-R0792_RS08050	False	
gene-R0792_RS06205	14	5	12	10	1	9	6	4	16	4	6	4	host	gene-R0792_RS06205	False	
gene-R0792_RS07910	347	414	501	335	196	426	363	251	305	235	360	317	host	gene-R0792_RS07910	False	
gene-R0792_RS04110	30	27	48	46	16	44	37	35	47	20	52	35	host	gene-R0792_RS04110	False	
